region,country,,fertility,rank_wik,rank_prg,pop,GDP_PPP,SSA,"Australia, New Zealand & Polynesia",South Asia,Africa,South East Asia,Middle East,NIS & Russia,Mediterranean Europe,Latin America,East Asia,Eastern & Central Europe,North America,North Asia,Continental Europe,Scandinavia
North America,Greenland,Denmark,2.02,111,111.5,56562,41800,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
North America,Grenada,,2.02,112,111.5,113000,16428.66667,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
"Australia, New Zealand & Polynesia",Guam,US,2.27,90,90.5,153836,35600,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Latin America,Guatemala,,2.78,68,67.5,17109746,9055,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
SSA,Guinea,,4.55,16,16,12907395,2803,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSA,Guinea-Bissau,,4.33,24,24,1646077,2240.666667,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latin America,Guyana,,2.42,78,78.5,743699,23682,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
Latin America,Haiti,,2.84,64,64,11743017,2971.333333,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
Latin America,Honduras,,2.39,80,80,9546178,5753.666667,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
East Asia,Hong Kong,China,0.87,199,199,7403100,61962,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Eastern & Central Europe,Hungary,,1.56,162,161,9689000,35657.66667,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
Scandinavia,Iceland,,1.72,138,138.5,377280,57379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
South Asia,India,,2.18,98,98,1375586000,7170.666667,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
South East Asia,Indonesia,,2.27,91,90.5,272248500,12807,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
Middle East,Iran,,2.14,102,102,85540906,14612.33333,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Middle East,Iraq,,3.54,45,45,41190700,10928.66667,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Continental Europe,Ireland,,1.63,148,148.5,5011500,102636,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
Mediterranean Europe,Israel,,2.9,62,62.5,9534620,44068,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Mediterranean Europe,Italy,,1.24,191,192,58929360,44849.33333,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
SSA,Ivory Coast,,4.54,18,17.5,27087732,5672,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North America,Jamaica,,1.95,118,118,2734093,9908,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
North Asia,Japan,,1.34,186,186.5,124930000,44146.66667,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Middle East,Jordan,,2.64,73,73,11235836,10762.66667,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
NIS & Russia,Kazakhstan,,3.13,56,56,19248320,27860.66667,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
SSA,Kenya,,3.37,53,53,47564296,4947.666667,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Australia, New Zealand & Polynesia",Kiribati,,3.49,49,47.5,120740,2279.333333,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern & Central Europe,Kosovo,,1.95,117,118,1798188,12233.33333,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
Middle East,Kuwait,,2.07,105,105,4670713,50927,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
NIS & Russia,Kyrgyzstan,,3,58,58,6700000,5260,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
South East Asia,Laos,,2.58,75,75,7337783,8415,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
Eastern & Central Europe,Latvia,,1.55,163,164,1874900,33415.66667,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
Middle East,Lebanon,,2.06,106,106,6769000,12958.66667,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
SSA,Lesotho,,3.07,57,57,2159000,2714.333333,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSA,Liberia,,4.18,31,30.5,4661010,1545,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,Libya,,2.17,99,99.5,6959000,14788.66667,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Continental Europe,Liechtenstein,,1.46,175,174.5,39315,159733.5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
Eastern & Central Europe,Lithuania,,1.48,170,171.5,2794961,40815,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
Continental Europe,Luxembourg,,1.37,185,184,645397,123118,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
#N/A,Macau,China,1.24,193,192,#N/A,66073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSA,Madagascar,,3.98,36,36,26923353,1672.666667,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSA,Malawi,,4.05,35,34.5,18898441,1410.333333,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South East Asia,Malaysia,,1.97,116,116,32722800,29717.33333,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
South Asia,Maldives,,1.81,130,130,383135,20810,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
SSA,Mali,,5.69,4,4,20856000,2412,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mediterranean Europe,Malta,,1.13,196,196,514564,47106.33333,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
SSA,Mauritania,,4.45,21,21,4271197,5791.333333,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSA,Mauritius,,1.44,177,176.5,1266334,22817.33333,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latin America,Mexico,,2.08,104,104,128271248,20281.66667,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
"Australia, New Zealand & Polynesia",Micronesia,,2.97,59,59,105754,3575.666667,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern & Central Europe,Moldova,,1.28,190,190,2597100,14257,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
East Asia,Mongolia,,2.83,65,65,3443350,12589.33333,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Eastern & Central Europe,Montenegro,,1.75,135,135,621306,22305,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
Africa,Morocco,,2.35,85,85.5,36637786,7950.666667,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
SSA,Mozambique,,4.71,12,12,30832244,1339,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South East Asia,Myanmar,,2.12,103,103,55294979,4904,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
SSA,Namibia,,3.29,54,54,2550226,9822.333333,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Asia,Nepal,,1.84,127,127,29192480,4001.333333,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Continental Europe,Netherlands,,1.55,164,164,17734531,60667,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
"Australia, New Zealand & Polynesia",New Caledonia,France,1.92,122,122,273674,31100,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"Australia, New Zealand & Polynesia",New Zealand,,1.61,150,150.5,5131545,45850.33333,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Latin America,Nicaragua,,2.35,86,85.5,6595674,5980.333333,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
SSA,Niger,,6.74,1,1,24112753,1307.666667,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSA,Nigeria,,5.25,8,7,211400708,5392,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Asia,North Korea,,1.89,125,125,25660000,1700,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Eastern & Central Europe,North Macedonia,,1.3,189,189,1832696,17710.66667,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
Scandinavia,Norway,,1.48,171,171.5,5435536,68202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Middle East,Oman,,2.78,67,67.5,4527446,30344.66667,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
South Asia,Pakistan,,3.39,52,52,225199937,6220,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
Middle East,Palestine,,3.49,47,47.5,5227193,5777.666667,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
Latin America,Panama,,2.42,79,78.5,4278500,31440,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
"Australia, New Zealand & Polynesia",Papua New Guinea,,3.48,50,49.5,9122994,4326.666667,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Latin America,Paraguay,,2.38,81,81.5,7353038,13376,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
Latin America,Peru,,2.21,97,96.5,33035304,13254,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
South East Asia,Philippines,,2.49,76,76,112047775,9178.333333,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
Eastern & Central Europe,Poland,,1.38,181,181.5,38028000,36390.33333,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
Mediterranean Europe,Portugal,,1.4,180,179.5,10347892,36731.66667,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Latin America,Puerto Rico,US,0.9,198,198,3285874,37146,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0
Middle East,Qatar,,1.83,129,128.5,2799202,96012.66667,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
SSA,R Congo,,4.32,25,25,5657000,3963.333333,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern & Central Europe,Romania,,1.6,152,153,19186201,32836.33333,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0
NIS & Russia,Russia,,1.5,169,168,147190000,28423.33333,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
SSA,Rwanda,,3.93,38,37.5,12955768,2416.333333,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North America,Saint Lucia,,1.41,178,178,178696,13917.66667,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
North America,St Martin (French part),France,1.8,132,131.5,32489,#N/A,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
"Australia, New Zealand & Polynesia",Samoa,,3.79,41,41,199853,6411.333333,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
SSA,São Tomé and Príncipe,,4.21,28,28,214610,4308.333333,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middle East,Saudi Arabia,,2.24,92,93,35013414,49697.66667,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
SSA,Senegal,,4.49,20,20,17223497,3656.333333,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern & Central Europe,Serbia,,1.48,172,171.5,6871547,20456,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0
SSA,Seychelles,,2.29,89,89,99202,30065,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSA,Sierra Leone,,4.08,32,32,8297882,1805,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
